feature,importance
adx,0.038645017096574294
volatility_20,0.03853255134369343
atr,0.037817933328196086
atr_normalized,0.03668436703928205
bb_width,0.036375626679276435
volatility_10,0.032979726965136104
bb_std,0.03160845115243047
volume_ma10,0.02989330650562901
sma_50,0.029686793442479938
macd,0.028364521382424325
sma_20,0.027797034184280235
bb_upper,0.027598683314273845
price_vs_sma50,0.027268820124235028
bb_lower,0.02720048005920751
bb_middle,0.027060362737498365
macd_signal,0.02681993293093071
sma20_vs_sma50,0.0263737216376697
minus_di,0.02523256072838048
di_diff,0.02395368469059144
rsi_ma5,0.02139572074151128
macd_hist,0.021264350689257923
plus_di,0.020837311448402913
dist_from_swing_high,0.020610221208246165
return_5,0.020422630912094352
return_10,0.020310790186950065
price_vs_sma20,0.02029129775833946
stoch_k,0.020265957968623977
bb_position,0.02010563200222944
volume_ratio,0.019940314998566487
rsi,0.01936381582531243
rsi_deviation,0.0187570806914405
stoch_d,0.018702086263639377
dist_from_swing_low,0.018692214172930797
high_low_range,0.01649372416698344
prev_body,0.016134117934316877
lower_shadow,0.01588414182089017
upper_shadow,0.015781355147031984
return_1,0.015606283681933392
body_ratio,0.014687258144921054
close_position,0.014519571726137605
body_size,0.014466927597352172
swing_high,0.0073236953051761195
swing_low,0.004446108328410225
engulfing,0.0018993936911611124
candle_direction,0.0013330314520667648
volume_spike,0.0005713907938846082
is_doji,0.0
