feature,importance
bb_std,0.0436120184789847
atr_normalized,0.04216044332242631
bb_width,0.04079964256946703
volatility_20,0.03921472432408908
atr,0.035572307267070544
sma_50,0.030184658014747793
adx,0.0300920430726294
sma_20,0.02981031648130098
volume_ma10,0.029695156988125585
volatility_10,0.029189984244927424
bb_middle,0.02863402333288142
bb_lower,0.02816900933188893
rsi_ma5,0.02812957591552968
bb_upper,0.0265988159135701
plus_di,0.025129146147536124
sma20_vs_sma50,0.0250731662857863
macd,0.024874406241763753
macd_signal,0.02458488100652879
price_vs_sma50,0.022942516717389762
minus_di,0.02280203237179151
macd_hist,0.02130337723203538
di_diff,0.021240674742914488
stoch_k,0.020864180698940048
dist_from_swing_high,0.020056924254060342
bb_position,0.019839395241194564
rsi,0.01923050353637229
stoch_d,0.01903676633123424
rsi_deviation,0.01903092279044982
dist_from_swing_low,0.018932997843544117
return_10,0.018727468305769143
price_vs_sma20,0.018552402886374587
return_5,0.018158927251583665
volume_ratio,0.016506188002852293
high_low_range,0.01628798516107295
prev_body,0.016053863081167574
body_ratio,0.015558432298268244
return_1,0.01527534062802863
upper_shadow,0.015151495595008667
body_size,0.014881390978110788
lower_shadow,0.014354765461971626
close_position,0.013394863363164143
swing_high,0.009645670977641891
swing_low,0.007427953651570377
engulfing,0.0014938281550467894
candle_direction,0.0014501803617280693
volume_spike,0.0002746331414600576
is_doji,0.0
