feature,importance
swing_high,0.06247101
volatility_20,0.04700776
bb_lower,0.044518825
bb_upper,0.04265062
swing_low,0.040406477
sma_50,0.036758628
volume_ma10,0.029970283
sma20_vs_sma50,0.02988017
macd,0.028515868
atr_normalized,0.02784844
macd_signal,0.026485762
volatility_10,0.025828108
stoch_k,0.024528129
return_10,0.0243336
atr,0.022598458
dist_from_swing_low,0.021962617
sma_20,0.021766674
price_vs_sma50,0.021211563
bb_width,0.02117174
price_vs_sma20,0.0204608
minus_di,0.020374034
di_diff,0.020309394
rsi_ma5,0.019942641
adx,0.019586243
macd_hist,0.019442055
plus_di,0.017835287
volume_spike,0.017808342
bb_std,0.017598616
stoch_d,0.017444886
bb_position,0.017033521
volume_ratio,0.015685542
rsi,0.015660515
lower_shadow,0.015258315
rsi_deviation,0.014898967
return_5,0.014589023
dist_from_swing_high,0.01432349
upper_shadow,0.01420713
high_low_range,0.013729307
return_1,0.013407591
body_size,0.012347949
body_ratio,0.011956687
prev_body,0.011752639
close_position,0.011258083
engulfing,0.007347626
is_doji,0.0036944943
candle_direction,0.0021321839
bb_middle,0.0
