feature,importance
atr_normalized,0.04532963415165448
bb_std,0.045175836703205026
volatility_20,0.04151546184537143
bb_width,0.03685863546035237
atr,0.03548680259132362
volatility_10,0.03096983996062847
sma_50,0.02970481283280237
adx,0.029237338213018407
volume_ma10,0.028618964406628047
bb_lower,0.027846384112892548
bb_middle,0.027838827170592943
sma_20,0.027189167256769575
macd,0.027052949682534293
bb_upper,0.02702502026124931
macd_signal,0.026866258554191523
minus_di,0.025902399184304866
sma20_vs_sma50,0.025534102979271237
price_vs_sma50,0.025017709626372037
plus_di,0.023563299224522192
rsi_ma5,0.02350088272318345
stoch_k,0.022835223086377733
di_diff,0.022346593158695055
return_10,0.0204610382340833
macd_hist,0.020330460616180143
stoch_d,0.01979086015494814
bb_position,0.019614771183576282
price_vs_sma20,0.018738812618529666
rsi,0.01851780430901804
rsi_deviation,0.018331619578216097
dist_from_swing_low,0.018272367959671333
dist_from_swing_high,0.017820792183725148
volume_ratio,0.017653285027246342
return_5,0.016564305207713185
prev_body,0.016461238601444092
high_low_range,0.016210743776574013
upper_shadow,0.014971423588919846
body_ratio,0.014656027923605004
body_size,0.014654130255052586
lower_shadow,0.014536977775311662
close_position,0.014206983459920046
return_1,0.014146519436390486
swing_low,0.007914689031855352
swing_high,0.00756787792299288
engulfing,0.0015721382842681993
candle_direction,0.0012961623981859606
volume_spike,0.00029282728663119437
is_doji,0.0
