feature,importance
atr_normalized,0.038815318156090094
volatility_20,0.038283170172911246
atr,0.03810082596103399
adx,0.03671086581311417
bb_width,0.034898978243879324
bb_std,0.031790562325966755
sma_50,0.03076553704479805
volume_ma10,0.03039525398650567
volatility_10,0.030228831679746423
bb_upper,0.029457200423354465
bb_lower,0.028369036980244445
bb_middle,0.027914117423064003
sma_20,0.027896567081451606
macd,0.027195068424790157
price_vs_sma50,0.026958327695647467
sma20_vs_sma50,0.026240334267742603
macd_signal,0.025956622016502503
di_diff,0.02514054877058229
minus_di,0.0248173171097679
macd_hist,0.022620814337636398
rsi_ma5,0.021625650026180297
stoch_k,0.02147151327894237
plus_di,0.021340341705745714
dist_from_swing_high,0.020710855765220054
return_10,0.02062700973501522
return_5,0.02027116526978978
price_vs_sma20,0.019875374956863878
rsi,0.019875188744842
volume_ratio,0.019309610051418003
bb_position,0.019188891664924625
stoch_d,0.019002276645345074
dist_from_swing_low,0.018990579050233936
rsi_deviation,0.018750374731822294
high_low_range,0.016434621484966123
upper_shadow,0.015573188464843044
return_1,0.01539077310332365
prev_body,0.015273930307314467
lower_shadow,0.015085551441521142
close_position,0.01469403154233046
body_ratio,0.014517503605940354
body_size,0.014281660067443282
swing_high,0.007220622152674542
swing_low,0.004387346773103585
engulfing,0.0018113534533517113
candle_direction,0.0012957300376497697
volume_spike,0.0004395580243650597
is_doji,0.0
