feature,importance
bb_std,0.0469241219226881
volatility_20,0.04048708465464758
bb_width,0.04033654907331497
atr_normalized,0.04019615381242109
atr,0.035705737657686955
adx,0.030585384470368286
sma_50,0.02996140189127905
bb_lower,0.029590734966198337
sma_20,0.028961805661550443
rsi_ma5,0.0285401931175631
bb_middle,0.028091946537981673
volume_ma10,0.027750930402048873
bb_upper,0.027701429794103838
volatility_10,0.02706188857157111
plus_di,0.02565050823690434
macd,0.024444601746314104
sma20_vs_sma50,0.024318825959857668
price_vs_sma50,0.02382129374144737
macd_signal,0.023488826284828616
minus_di,0.023325190903071707
di_diff,0.02220616343443881
bb_position,0.021050786754982082
macd_hist,0.02093706456957359
stoch_k,0.020644267672367066
dist_from_swing_high,0.01993144295283809
stoch_d,0.019437525467946533
rsi,0.019209932989442995
return_10,0.018853061820439877
price_vs_sma20,0.018563435227660866
rsi_deviation,0.018341709825051424
dist_from_swing_low,0.01764335148592357
volume_ratio,0.01704944479974274
return_5,0.01691305441218891
prev_body,0.016857138750880834
high_low_range,0.016422423802962816
upper_shadow,0.01549197292583104
return_1,0.015045888803178658
body_ratio,0.014893675765807954
body_size,0.014832287504935461
lower_shadow,0.014267704639823539
close_position,0.01390446499189516
swing_high,0.009458187263340252
swing_low,0.00798831112090116
engulfing,0.0014641075438701367
candle_direction,0.0013697596675403864
volume_spike,0.00027822640058893297
is_doji,0.0
