feature,importance
swing_high,0.056592878
bb_width,0.047345515
bb_upper,0.038475793
macd_signal,0.03536336
swing_low,0.03523843
atr_normalized,0.032357734
bb_lower,0.032274276
bb_std,0.031657558
sma_50,0.02993925
atr,0.02982803
sma20_vs_sma50,0.02916163
sma_20,0.026950445
volume_ma10,0.025999522
volatility_20,0.025847703
adx,0.025315765
macd_hist,0.024353947
macd,0.024073593
stoch_k,0.023077276
dist_from_swing_high,0.022487901
rsi_ma5,0.02189795
volume_ratio,0.021599766
volatility_10,0.021010265
rsi_deviation,0.020500606
return_10,0.020468725
plus_di,0.02003039
di_diff,0.019643944
minus_di,0.019064825
price_vs_sma20,0.018651847
dist_from_swing_low,0.01816872
price_vs_sma50,0.017851757
high_low_range,0.016892102
rsi,0.016762502
stoch_d,0.015906928
return_5,0.015246091
bb_position,0.014679668
return_1,0.014218002
lower_shadow,0.013259204
engulfing,0.0129994545
upper_shadow,0.012934873
close_position,0.012458497
body_size,0.011982716
prev_body,0.011809028
body_ratio,0.0116820885
volume_spike,0.0039395047
bb_middle,0.0
candle_direction,0.0
is_doji,0.0
