feature,importance
bb_std,0.0432921169155184
atr_normalized,0.041272221545316415
bb_width,0.039833807600907434
volatility_20,0.03919080937358764
atr,0.03651831714080006
adx,0.031305206069688514
bb_middle,0.030160249416804907
sma_50,0.029158381844931434
volatility_10,0.028927846619438008
volume_ma10,0.02892379658639561
sma_20,0.028587338379812997
bb_lower,0.028388414676549352
rsi_ma5,0.02831533859019181
bb_upper,0.028011076126062663
macd,0.02566957002855787
sma20_vs_sma50,0.025208668665352412
price_vs_sma50,0.02456572053386497
macd_signal,0.024134559779331422
plus_di,0.023986770246988396
minus_di,0.023025105058344944
macd_hist,0.021804088053507274
di_diff,0.021686765487936802
stoch_k,0.021642236339480307
bb_position,0.02020323692041309
price_vs_sma20,0.01973766432295719
dist_from_swing_high,0.019529345714030106
rsi_deviation,0.019495039211723724
stoch_d,0.01905254073588391
rsi,0.018917600182989523
dist_from_swing_low,0.018584413671159112
return_10,0.018160982007026368
return_5,0.017198940347009473
high_low_range,0.016412291401152836
volume_ratio,0.01624116713300573
prev_body,0.015945199732394923
return_1,0.015272207838075787
upper_shadow,0.015110178147957126
body_ratio,0.014514853736501028
body_size,0.014154798415575124
lower_shadow,0.013952571093731596
close_position,0.013286774867433227
swing_high,0.009617160858971109
swing_low,0.008172777040652914
engulfing,0.0012797766046223585
candle_direction,0.0012786476615499465
volume_spike,0.00027342727581419366
is_doji,0.0
