feature,importance
swing_high,0.07054447
atr_normalized,0.057937067
bb_width,0.043403387
swing_low,0.04286989
sma_50,0.040660266
atr,0.03635407
bb_upper,0.03619414
price_vs_sma50,0.033244397
bb_lower,0.031514984
macd,0.031339984
volatility_20,0.029267376
adx,0.024936944
macd_hist,0.022784699
sma_20,0.022447381
macd_signal,0.022354895
volume_ma10,0.021853859
stoch_k,0.021812567
minus_di,0.02054957
volatility_10,0.020457236
bb_std,0.020328544
rsi,0.019759504
sma20_vs_sma50,0.019142255
price_vs_sma20,0.019067284
bb_position,0.018597158
plus_di,0.017764948
di_diff,0.017663604
return_5,0.01703554
return_10,0.016791448
rsi_ma5,0.015925124
dist_from_swing_high,0.015540093
stoch_d,0.014371729
dist_from_swing_low,0.014265929
close_position,0.014174672
rsi_deviation,0.014037599
volume_ratio,0.013335715
engulfing,0.012786121
body_size,0.012593567
upper_shadow,0.012380238
prev_body,0.01229667
lower_shadow,0.011661287
return_1,0.011363084
high_low_range,0.0107249
body_ratio,0.010277331
volume_spike,0.0066699176
candle_direction,0.0009185213
bb_middle,0.0
is_doji,0.0
