feature,importance
swing_high,0.06914349
atr_normalized,0.053080376
swing_low,0.045138255
bb_upper,0.041488953
bb_width,0.04123546
sma_50,0.039939146
atr,0.036025017
price_vs_sma50,0.031940445
macd,0.031306144
bb_lower,0.031158432
volatility_20,0.029730652
adx,0.024113176
sma_20,0.023173857
macd_signal,0.023002133
macd_hist,0.02249617
volume_ma10,0.02162108
stoch_k,0.02155442
bb_std,0.021014564
sma20_vs_sma50,0.019753985
minus_di,0.019687109
volatility_10,0.018755347
rsi,0.018694162
price_vs_sma20,0.018513355
bb_position,0.018114876
plus_di,0.017736113
di_diff,0.017193211
return_10,0.016894761
return_5,0.016070759
rsi_ma5,0.015893381
dist_from_swing_high,0.015690532
engulfing,0.014801083
dist_from_swing_low,0.014146052
volume_ratio,0.014072945
close_position,0.013635417
stoch_d,0.013544037
body_size,0.01286489
rsi_deviation,0.012734097
lower_shadow,0.012434154
prev_body,0.012027395
upper_shadow,0.012023781
return_1,0.011889155
high_low_range,0.011349651
body_ratio,0.010504231
candle_direction,0.008630315
volume_spike,0.0051833675
bb_middle,0.0
is_doji,0.0
