feature,importance
volatility_20,0.03939288364153312
bb_upper,0.037109732486704974
sma_50,0.036058105380865374
bb_middle,0.03399110262356207
sma_20,0.033083150972423585
bb_lower,0.03264265482795661
volatility_10,0.031667845224573866
atr,0.030623768844768643
sma20_vs_sma50,0.03052856310929039
atr_normalized,0.029606471892756888
macd_hist,0.029581941208507944
volume_ma10,0.029340079100327526
macd,0.02912401837906636
macd_signal,0.028654892867048764
adx,0.028541938159761016
di_diff,0.026026701906112622
bb_std,0.02575085793547925
price_vs_sma50,0.025384084567899458
bb_width,0.025028626775062082
minus_di,0.024527427371800845
plus_di,0.02304928095511868
stoch_k,0.022805931632250948
rsi_ma5,0.021716125982468606
price_vs_sma20,0.021017108450638963
stoch_d,0.020340120360876256
volume_ratio,0.020194248636605988
rsi,0.02009346050589819
bb_position,0.0195125835630668
return_10,0.019247049139152136
dist_from_swing_low,0.018809481598816527
dist_from_swing_high,0.0184734757715816
rsi_deviation,0.017906486098276674
return_5,0.017653450820804745
high_low_range,0.015692034186903396
prev_body,0.01530951925700615
body_ratio,0.01503390299108403
upper_shadow,0.014677002465900717
return_1,0.014248561563007736
lower_shadow,0.013952597226368173
body_size,0.013828800650198522
close_position,0.01266335859609664
swing_high,0.0074186695001138385
swing_low,0.005480551410449258
candle_direction,0.0016025084452635351
engulfing,0.0013760108730672346
is_doji,0.0008429058530603871
volume_spike,0.0003899261904229186
