feature,importance
swing_high,0.066658825
bb_upper,0.047332287
bb_lower,0.045886014
volatility_20,0.043819092
swing_low,0.042794712
sma_50,0.038622048
atr_normalized,0.030399349
sma20_vs_sma50,0.029154887
volume_ma10,0.0290064
macd_signal,0.027108122
volatility_10,0.025974939
macd,0.025957424
stoch_k,0.024162756
return_10,0.02345246
atr,0.023386696
price_vs_sma50,0.021692427
sma_20,0.021272453
dist_from_swing_low,0.02089717
bb_width,0.020450579
rsi_ma5,0.020399675
macd_hist,0.019975893
minus_di,0.019879682
di_diff,0.019877547
adx,0.019681903
price_vs_sma20,0.019641168
bb_position,0.018566487
bb_std,0.01760942
plus_di,0.017535169
stoch_d,0.01731422
rsi,0.016441246
volume_ratio,0.0150315035
rsi_deviation,0.014944811
lower_shadow,0.01464946
return_5,0.014609553
dist_from_swing_high,0.014444316
return_1,0.014179031
upper_shadow,0.013889933
high_low_range,0.0131525425
body_size,0.012268292
volume_spike,0.01215107
body_ratio,0.011679194
prev_body,0.01153173
close_position,0.01104719
engulfing,0.0067128767
candle_direction,0.004757491
bb_middle,0.0
is_doji,0.0
