feature,importance
volatility_20,0.03714778444284588
sma_50,0.0366227583323493
bb_middle,0.034697118726817924
bb_upper,0.03454894919818365
volatility_10,0.03409427881941519
sma_20,0.03349545787455668
bb_lower,0.03295669275204851
volume_ma10,0.030418819484593324
atr,0.030059964331712746
sma20_vs_sma50,0.029576145169393633
macd_signal,0.029432027217230528
adx,0.028617478177942954
atr_normalized,0.028175200630926125
macd,0.0276429527484109
macd_hist,0.027185231269625246
bb_std,0.02679326391623331
di_diff,0.02613352923107056
price_vs_sma50,0.025683610434229315
minus_di,0.025603224386470128
bb_width,0.025545146053068478
rsi_ma5,0.024103206078116442
stoch_k,0.02267658253183026
plus_di,0.022323660928048397
bb_position,0.02072058036528949
rsi,0.0206646497911759
stoch_d,0.020631917373360394
volume_ratio,0.020531020661267677
price_vs_sma20,0.020065534103398314
return_10,0.02004570688215017
dist_from_swing_low,0.018729326144745363
dist_from_swing_high,0.018428510765107556
rsi_deviation,0.018230754333372432
return_5,0.01655096375217149
body_ratio,0.016094971223610758
return_1,0.014851295740843899
high_low_range,0.014729101061246974
prev_body,0.014643854648001421
lower_shadow,0.013934583405330016
upper_shadow,0.01345881258624783
body_size,0.013228063208081987
close_position,0.013121798294606737
swing_high,0.0080706216622239
swing_low,0.0055235422843680545
engulfing,0.0015040058698886796
candle_direction,0.001439388206676867
is_doji,0.000923141036864221
volume_spike,0.00034477386485040536
